6 s | 23C, 89%, 0 UV, 3 Cd, 10% AQI, 82% LPG | static, -1.88 -0.51Y 9.96Z m/s^2 
6 s | 23C, 89%, 0 UV, 3 Cd, 10% AQI, 83% LPG | static, -1.92X -0.51Y 9.92Z m/s^2 
6 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 83% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
6 s | 23C, 89%, 0 UV, 3 Cd, 10% AQI, 83% LPG | static, -1.88X -0.51Y 9.88Z m/s^2 
6 s | 23C, 89%, 0 UV, 3 Cd, 100% AQI, 84% LPG | static, -1.84X -0.47Y 9.96Z m/s^2 
7 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 84% LPG | static, -1.88X -0.47Y 10.00Z m/s^2 
7 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 84% LPG | static, -1.88X -0.51Y 9.88Z m/s^2 
7 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 85% LPG | static, -1.84X -0.55Y 9.92Z m/s^2 
7 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 85% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
7 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 85% LPG | static, -1.92X -0.51Y 9.92Z m/s^2 
7 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 85% LPG | static, -1.88X -0.51Y 9.96Z m/s^2 
7 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 86% LPG | static, -1.88X -0.47Y 9.96Z m/s^2 
7 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 86% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
8 s | 23C, 88%, 0 UV, 3 Cd, 10% AQI, 86% LPG | static, -1.88X -0.47Y 9.88Z m/s^2 
8 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 86% LPG | static, -1.92X -0.51Y 1.00Z m/s^2 
8 s | 23C, 88%, 0 UV, 3 Cd, 10% AQI, 87% LPG | static, -1.88X -0.51Y 10.00Z m/s^2 
8 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 87% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
8 s | 23C, 88%, 0 UV, 3 Cd, 10% AQI, 87% LPG | static, -1.84X -0.47Y 9.92Z m/s^2 
8 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 87% LPG | static, -1.88X -0.51Y 10.00Z m/s^2 
8 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 88% LPG | static, -1.84 -0.51Y 9.92Z m/s^2 
8 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 88% LPG | static, -1.88 -0.51Y 9.96Z m/s^2 
9 s | 23C, 88%, 0 UV, 3 Cd, 10% AQI, 88% LPG | static, -1.81X -0.51Y 9.92Z m/s^2 
9 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 88% LPG | static, -1.84X -0.47Y 9.92Z m/s^2 
9 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 88% LPG | static, -1.92X -0.51Y 9.88Z m/s^2 
9 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 89% LPG | static, -1.92X -0.47Y 9.96Z m/s^2 
9 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 89% LPG | static, -1.92X -0.51Y 9.92Z m/s^2 
9 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 89% LPG | static, -1.84X -0.51Y 9.92Z m/s^2 
9 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 89% LPG | static, -1.88X -0.55Y 9.84Z m/s^2 
9 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 89% LPG | static, -1.92X -0.51Y 9.88Z m/s^2 
10 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 89% LPG | static, -1.88X -0.51Y 9.96Z m/s^2 
10 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 90% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
10 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 90% LPG | static, -1.88X -0.51Y 9.88Z m/s^2 
10 s | 2C, 88%, 0 UV, 3 Cd, 100% AQI, 90% LPG | static, -1.92X -0.47Y 9.96Z m/s^2 
10 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 90% LPG | static, -1.92X -0.51Y 9.88Z m/s^2 
10 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 90% LPG | static, -1.88X -0.47Y 9.92Z m/s^2 
10 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 90% LPG | static, -1.8X -0.55Y 9.92Z m/s^2 
10 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 90% LPG | static, -1.84X -0.55Y 9.92Z m/s^2 
11 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 90% LPG | static, -1.8X -0.51Y 9.88Z m/s^2 
11 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 91% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
11 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 91% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
11 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 91% LPG | static, -1.8X -0.51Y 9.88Z m/s^2 
11 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 91% LPG | static, -1.84X -0.55Y9.96Z m/s^2 
11 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 91% LPG | static, -1.8X -0.51Y 9.84Z m/s^2 
11 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 92% LPG | static, -1.88X -0.51Y 9.88Z m/s^2 
12 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 92% LPG | static, -1.9X -0.51Y 9.88Z m/s^2 
12 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 92% LPG | static, -1.84X -0.51Y 9.92Z m/s^2 
12 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 92% LPG | static, -1.8X -0.51Y 9.88Z m/s^2 
12 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 92% LPG | static, -1.88X -0.55Y 10.00Z m/s^2 
12 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 92% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
12 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 92% LPG | static, -1.92X -0.43Y 9.92Z m/s^2 
12 s | 2C, 88%, 0 UV, 3 Cd, 100% AQI, 92% LPG | static, -1.92X -0.47Y 9.96Z m/s^2 
12 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 92% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
13 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 93% LPG | static, -1.88X -0.47Y 9.92Z m/s^2 
13 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 93% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
13 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 93% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
13 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 93% LPG | static, -1.88X -0.51Y 9.92Z m/s^2 
13 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 93% LPG | static, -1.88X -0.55Y 9.88Z m/s^2 
13 s | 23C, 88%, 0 UV, 3 Cd, 00% AQI, 93% LPG | static, -1.8X -0.51Y 9.92Z m/s^2 
13 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 93% LPG | static, -1.84X -0.51Y 9.88Z m/s^2 
13 s | 2C, 88%, 0 UV, 3 Cd, 100% AQI, 93% LPG | static, -1.92X -0.51Y 9.92Z m/s^2 
14 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 93% LPG | static, -1.88X -0.51Y 9.96Z m/s^2 
14 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 93% LPG | static, -1.84X -0.47Y 9.92Z m/s^2 
14 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 93% LPG | static, -1.8X -0.51Y 9.96Z m/s^2 
14 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 94% LPG | static, -1.88X -0.47Y 9.96Z m/s^2 
14 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 94% LPG | static, -1.8X -0.47Y 9.88Z m/s^2 
14 s | 23C, 88%, 0 UV, 3 Cd, 100% AQI, 94% LPG | static, -1.88X -0.51Y 9.81Z m/s^2 
14 s | 23C, 88%, 0 UV, 3 Cd, 14X -0.51Y 9.96Z m/s^2 
